property,address,price,duration,number of bedrooms
4 bedroom terraced duplex for rent,"  Ikate, Lekki, Lagos","7,500,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Parkview, Ikoyi, Lagos","10,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Old Ikoyi, Ikoyi, Lagos","10,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","7,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ikeja GRA, Ikeja, Lagos","8,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,500,000", per annum,3
5 bedroom detached duplex for rent,"  Ikeja GRA, Ikeja, Lagos","18,000,000", per annum,5
2 bedroom flat / apartment for rent,"  14 Adebayo Doherty, Lekki Phase 1, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","8,500,000", per annum,3
5 bedroom house for rent,"  Awuse Estate, Opebi, Ikeja, Lagos","11,000,000", per annum,5
4 bedroom terraced duplex for rent,"  Bordillon Road, Ikoyi, Lagos","15,000,000", per annum,4
5 bedroom terraced duplex for rent,"  Ikate Elegushi, Lekki, Lagos","7,000,000", per annum,5
Self contain (single rooms) for rent,"  Off Masha, Surulere, Lagos","400,000", per annum,1
3 bedroom detached bungalow for rent,"  Harmony Estate, Galadimawa, Abuja","3,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Lekki Palm City, Ajah, Lagos","1,200,000", per annum,1
4 bedroom house for rent,"  Admiralty Way Lekki Phase 1 ,, Lekki, Lagos","4,000,000", per annum,4
3 bedroom flat / apartment for rent,"  Thomas Estate, Ajah, Lagos","1,300,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Oregun Ikeja, Lagos, Ikeja, Lagos","1,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Agungi, Lekki, Lagos","1,900,000", per annum,1
3 bedroom flat / apartment for rent,"  Thomas Estate, Ajah, Lagos","1,600,000", per annum,3
3 bedroom terraced duplex for rent,"  Off Admiralty Road, Lekki Phase 1, Lekki, Lagos","4,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Ajah, Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Ikate-elegushi, Lekki, Lagos","4,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Berra Estate Chevron Drive, Lekki, Lagos","3,000,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Victoria Island (VI), Lagos","2,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Silverpoint Estate, Badore, Ajah, Lagos","1,500,000", per annum,3
Self contain (single rooms) for rent,"  Victoria Island (VI), Lagos","1,200,000", per annum,1
3 bedroom flat / apartment for rent,"  New Oko-Oba, Agege, Lagos","700,000", per annum,3
3 bedroom terraced duplex for rent,"  House 1d, Road 7, Ikota Villa Estate, Ikota, Lekki, Lagos","3,500,000", per annum,3
2 bedroom flat / apartment for rent,"  Westwood Estate, Badore, Ajah, Lagos","1,300,000", per annum,2
Self contain (single rooms) for rent,"  Victoria Island (VI), Lagos","1,200,000", per annum,1
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","3,500,000", per annum,2
Self contain (single rooms) for rent,"  Ologolo, Lekki, Lagos","700,000", per annum,1
3 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","10,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Off College Road, Ogba, Ikeja, Lagos","900,000", per annum,3
1 bedroom mini flat (room and parlour) for rent,"  Seaside Estate, Badore, Ajah, Lagos","900,000", per annum,1
2 bedroom flat / apartment for rent,"  Victoria Island (VI), Lagos","8,000,000", per annum,2
3 bedroom semi-detached duplex for rent,"  GRA Phase 2, Magodo, Lagos","4,500,000", per annum,3
4 bedroom detached duplex for rent,"  Oral Estate, Ikota, Lekki, Lagos","5,500,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Greenville Estate, Badore, Ajah, Lagos","600,000", per annum,1
5 bedroom semi-detached duplex for rent,"  2nd Avenue, Gwarinpa, Abuja","7,000,000", per annum,5
4 bedroom detached duplex for rent,"  Unity Estate, Badore, Ajah, Lagos","1,600,000", per annum,4
2 bedroom flat / apartment for rent,"  Palm Crescent Estate, Badore, Ajah, Lagos","1,200,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Close To Omole Phase 1 Estate, Ojodu, Lagos","750,000", per annum,1
2 bedroom flat / apartment for rent,"  Close To Just Right Ojodu Lagos Nigerian, Ojodu, Lagos","1,400,000", per annum,2
2 bedroom flat / apartment for rent,"  Palmcrescent Estate, Badore, Ajah, Lagos","1,200,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Ajayi Road Oke-ira, Ogba, Ikeja, Lagos","1,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Greenville Estate, Badore, Ajah, Lagos","1,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
Self contain (single rooms) for rent,"  Unity Estate, Badore, Ajah, Lagos","400,000", per annum,1
1 bedroom flat / apartment for rent,"  Orchid Road, Lekki, Lagos","2,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","7,000,000", per annum,3
1 bedroom flat / apartment for rent,"  Oniru, Victoria Island (VI), Lagos","3,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Chevy View Estate, Lekki, Lagos","2,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Off Kunshela, Ikate, Lekki, Lagos","3,300,000", per annum,2
2 bedroom flat / apartment for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","1,800,000", per annum,2
2 bedroom flat / apartment for rent,"  Off Oyadiran Estate Sabo, Close On Discount Ace, Yaba, Lagos","1,700,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Ebute, Ikorodu, Lagos","500,000", per annum,1
2 bedroom flat / apartment for rent,"  Ebute, Ikorodu, Lagos","1,300,000", per annum,2
Self contain (single rooms) for rent,"  Good Homes Estate, Ado, Ajah, Lagos","500,000", per annum,1
2 bedroom flat / apartment for rent,"  Seaside, Badore, Ajah, Lagos","1,300,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Olive Garden Estate Ajah Lagos, Ogombo, Ajah, Lagos","550,000", per annum,1
Plaza / complex / mall for rent,"  Road 14 Off Admiralty Way Lekki Phase 1, Lekki, Lagos","2,000,000", per annum,Plaza/mall Space
Self contain (single rooms) for rent,"  Chevy View Estate, Chevron, Lekki, Lagos","1,100,000", per annum,1
Self contain (single rooms) for rent,"  Chevy View Estate, Chevron, Lekki, Lagos","1,600,000", per annum,1
Self contain (single rooms) for rent,"  Chevy View Estate, Chevron, Lekki, Lagos","1,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Greenland Estate, Ogombo, Ajah, Lagos","1,200,000", per annum,2
Self contain (single rooms) for rent,"  Chevy View Estate, Lekki, Lagos","200,000", per month,1
3 bedroom flat / apartment for rent,"  Parkview, Ikoyi, Lagos","7,000,000", per annum,3
4 bedroom semi-detached duplex for rent,"  Channels Tv Avenue Tophill Enclave Estate, Isheri North, Lagos","4,000,000", per annum,4
Self contain (single rooms) for rent,"  Villa Behind Mega Chicken, Ikota, Lekki, Lagos","750,000", per annum,1
Self contain (single rooms) for rent,"  Ologolo, Lekki, Lagos","800,000", per annum,1
Self contain (single rooms) for rent,"  Oral Estate By Eleganza, Lekki, Lagos","80,000", per month,1
1 bedroom mini flat (room and parlour) for rent,"  Ologolo, Lekki, Lagos","1,500,000", per annum,1
Self contain (single rooms) for rent,"  Idado, Lekki, Lagos","1,800,000", per annum,1
4 bedroom detached duplex for rent,"  Orchid Road, Lekki, Lagos","4,500,000", per annum,4
3 bedroom terraced duplex for rent,"  Harris Drive By Vgc, VGC, Lekki, Lagos","2,700,000", per annum,3
3 bedroom flat / apartment for rent,"  Utako, Abuja","4,500,000", per annum,3
4 bedroom terraced duplex for rent,"  Osapa, Lekki, Lagos","4,000,000", per annum,4
2 bedroom detached bungalow for rent,"  Lokogoma, Lokogoma District, Abuja","2,500,000", per annum,2
Self contain (single rooms) for rent,"  By Next Cash & Carry, Jahi, Abuja","500,000", per annum,1
Office space for rent,"  Glover Road, Ikoyi, Lagos","70,000,000", per annum,Office Space
1 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","2,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","4,000,000", per annum,2
4 bedroom detached bungalow for rent,"  Eliozu, Port Harcourt, Rivers","2,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Mabushi, Abuja","2,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Ikoyi, Lagos","16,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Life Camp, Abuja","2,200,000", per annum,2
3 bedroom house for rent,"  By Christ Embassy, Durumi, Abuja","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Life Camp, Abuja","2,300,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
4 bedroom commercial property for rent,"  Lekki Phase 1, Lekki, Lagos","17,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Transformer Bucknor Estate, Isolo, Lagos","800,000", per annum,2
2 bedroom flat / apartment for rent,"  Osapa London, Osapa, Lekki, Lagos","2,700,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Off Ogunlana Drive, Surulere, Lagos","1,200,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Alagomeji, Yaba, Lagos","1,100,000", per annum,1
16 bedroom detached duplex for rent,"  Off Alfred Rewane Road, Ikoyi, Lagos","70,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Aguda, Surulere, Lagos","2,000,000", per annum,3
Warehouse for rent,"  Ada George, Port Harcourt, Rivers","15,000,000", per annum,Warehouse Space
12 bedroom detached duplex for rent,"  Addo Road, Ajah, Lagos","12,000,000", per annum,1
2 bedroom flat / apartment for rent,"  Happy Land Estate, Sangotedo, Ajah, Lagos","1,800,000", per annum,2
2 bedroom flat / apartment for rent,"  Sabo, Yaba, Lagos","2,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Oasis Garden, Opposite Nafbase Harmony Estate, Eliozu, Port Harcourt, Rivers","1,600,000", per annum,2
3 bedroom terraced duplex for rent,"  Compound At Atunrase Estate, Gbagada, Gbagada, Lagos","3,500,000", per annum,3
4 bedroom detached duplex for rent,"  Abuloma, Port Harcourt, Rivers","2,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Golf Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers","5,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Ogunfayo Estate, Awoyaya, Ibeju Lekki, Lagos","1,200,000", per annum,3
2 bedroom flat / apartment for rent,"  Sangotedo, Ajah, Lagos","1,400,000", per annum,2
3 bedroom flat / apartment for rent,"  Alagomeji, Yaba, Lagos","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Between Awoyaya And Eputu Town, Awoyaya, Ibeju Lekki, Lagos","900,000", per annum,3
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
2 bedroom terraced duplex for rent,"  On Admiralty Way, Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Agungi, Lekki, Lagos","7,000,000", per annum,4
4 bedroom semi-detached duplex for rent,"  Ikota, Lekki, Lagos","5,000,000", per annum,4
2 bedroom house for rent,"  Diamond Estate, Sangotedo, Ajah, Lagos","2,500,000", per annum,2
1 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","2,600,000", per annum,1
Self contain (single rooms) for rent,"  Badore Road, Ajah, Lagos","350,000", per annum,1
4 bedroom terraced duplex for rent,"  Olokonla, Ajah, Lagos","2,500,000", per annum,4
2 bedroom flat / apartment for rent,"  John Ogunaike Street, Magodo Phase 2 Gra, GRA Phase 2, Magodo, Lagos","3,000,000", per annum,2
5 bedroom house for rent,"  Chevyview Estate Chevron Lekki, Lagos, Lekki, Lagos","5,000,000", per annum,5
2 bedroom flat / apartment for rent,"  GRA Phase 2, Magodo, Lagos","2,000,000", per annum,2
4 bedroom detached duplex for rent,"  Ajah, Lagos","3,500,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Benson, Ikorodu, Lagos","400,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ikate Elegushi Ikate Lekki Lagos State, Ikate Elegushi, Lekki, Lagos","2,600,000", per annum,1
4 bedroom house for rent,"  By Petro-cam Filling Station Elf Lekki Right, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,4
3 bedroom house for rent,"  Ogba, Ikeja, Lagos","2,000,000", per annum,3
Self contain (single rooms) for rent,"  Orchid, Lekki, Lagos","1,500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ogba, Ikeja, Lagos","500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Oshogun Street, Ori-oke, Ogudu, Lagos","700,000", per annum,1
2 bedroom house for rent,"  Iju-Ishaga, Agege, Lagos","800,000", per annum,2
Shop for rent,"  Admiralty Way, Lekki Phase 1, Lekki, Lagos","3,360,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Gated Estate Lekki Right Maruwa Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","2,500,000", per annum,1
Self contain (single rooms) for rent,"  Greenville, Badore, Ajah, Lagos","400,000", per annum,1
Self contain (single rooms) for rent,"  Greenville, Badore, Ajah, Lagos","600,000", per annum,1
2 bedroom flat / apartment for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","1,500,000", per annum,2
2 bedroom house for rent,"  GRA Phase 2, Magodo, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","2,500,000", per annum,2
3 bedroom house for rent,"  Gilmore, Jahi, Abuja","5,500,000", per annum,3
1 bedroom flat / apartment for rent,"  News Engineering, Dawaki, Gwarinpa, Abuja","1,800,000", per annum,1
2 bedroom flat / apartment for rent,"  Command, Ipaja, Lagos","600,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  Olokonla, Ajah, Lagos","1,500,000", per annum,1
2 bedroom flat / apartment for rent,"  Maitama District, Abuja","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Oniru Estate Oniru Victoria Island Lagos State, Oniru, Victoria Island (VI), Lagos","6,000,000", per annum,3
3 bedroom house for rent,"  By Naval Quarters, Kado, Abuja","3,000,000", per annum,3
3 bedroom flat / apartment for rent,"  Katampe (Main), Katampe, Abuja","2,700,000", per annum,3
Self contain (single rooms) for rent,"  Dolphin Estate, Ikoyi, Lagos","1,000,000", per annum,1
4 bedroom terraced duplex for rent,"  Idado, Lekki, Lagos","4,000,000", per annum,4
5 bedroom detached duplex for rent,"  Katampe Extension, Katampe, Abuja","25,000,000", per annum,5
3 bedroom flat / apartment for rent,"  Off Freedom Way By Canadian Embassy Lekki Phase1, Ikate, Lekki, Lagos","5,500,000", per annum,3
3 bedroom flat / apartment for rent,"  Ilupeju, Lagos","4,000,000", per annum,3
8 bedroom commercial property for rent,"  Lekki Phase 1, Lekki Phase 1, Lekki, Lagos","16,000,000", per annum,8
4 bedroom detached duplex for rent,"  Reverend Ogunbiyi Street, Ikeja GRA, Ikeja, Lagos","16,000,000", per annum,4
5 bedroom detached duplex for rent,"  Megamound Estate, Ikota, Lekki, Lagos","9,000,000", per annum,5
1 bedroom mini flat (room and parlour) for rent,"  Lekki Gardens Phase 5, Ajah, Lagos","1,200,000", per annum,1
4 bedroom semi-detached duplex for rent,"  Creek Haven, VGC, Lekki, Lagos","4,500,000", per annum,4
3 bedroom flat / apartment for rent,"  Maruwa Lekki, Lekki Phase 1, Lekki, Lagos","6,000,000", per annum,3
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","3,500,000", per annum,2
3 bedroom flat / apartment for rent,"  Katampe (Main), Katampe, Abuja","2,700,000", per annum,3
2 bedroom flat / apartment for rent,"  Balarabe Musa Crescent, Victoria Island (VI), Lagos","4,500,000", per annum,2
1 bedroom mini flat (room and parlour) for rent,"  8 Balarabe Musa Crescent, Near 1004 Flats, Victoria Island (VI), Lagos","2,900,000", per annum,1
2 bedroom flat / apartment for rent,"  Fo1, FO1 Layout, Kubwa, Abuja","2,500,000", per annum,2
4 bedroom terraced duplex for rent,"  Opebi Gra, Opebi, Ikeja, Lagos","6,000,000", per annum,4
1 bedroom mini flat (room and parlour) for rent,"  Ogunfayo, Awoyaya, Eputu, Ibeju Lekki, Lagos","500,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ikate, Lekki, Lagos","3,000,000",,1
2 bedroom flat / apartment for rent,"  Hopeville Estate Lekki, Sangotedo, Ajah, Lagos","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Ologolo, Lekki, Lagos","4,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  Chevron, Lekki, Lagos","6,500,000", per annum,4
4 bedroom flat / apartment for rent,"  Garki, Garki, Abuja","5,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ikate Elegushi, Lekki, Lagos","7,500,000", per annum,4
2 bedroom flat / apartment for rent,"  Jabi, Abuja","2,000,000", per annum,2
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,500,000", per annum,2
