property,address,price,duration,number of bedrooms
Plaza / complex / mall for rent,"  Gudu, Abuja","3,500,000", per annum,Plaza/mall Space
Self contain (single rooms) for rent,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos","800,000", per annum,1
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,2
4 bedroom semi-detached duplex for rent,"  House 10, Road 4,farmville Estate Opp Blenco Supermarket., Sangotedo, Ajah, Lagos","2,700,000", per annum,4
Self contain (single rooms) for rent,"  Ogba, Ikeja, Lagos","400,000", per annum,1
1 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","6,500,000", per annum,1
2 bedroom house for rent,"  Ogba, Ikeja, Lagos","1,600,000", per annum,2
4 bedroom terraced duplex for rent,"  Osapa, Lekki, Lagos","4,500,000", per annum,4
5 bedroom detached duplex for rent,"  Oral Estate, Lekki, Lagos","8,000,000", per annum,5
Self contain (single rooms) for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","1,000,000", per annum,1
Self contain (single rooms) for rent,"  In An Estate, Wuye, Abuja","5,000,000", per annum,1
1 bedroom mini flat (room and parlour) for rent,"  Ikate, Ikate Elegushi, Lekki, Lagos","2,000,000", per annum,1
3 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","8,000,000", per annum,3
4 bedroom flat / apartment for rent,"  Parkview Estate Ikoyi, Parkview, Ikoyi, Lagos","9,000,000", per annum,4
4 bedroom terraced duplex for rent,"  Ikota, Lekki, Lagos","4,000,000", per annum,4
2 bedroom flat / apartment for rent,"  Lekki Phase 1, Lekki, Lagos","5,000,000", per annum,2
3 bedroom flat / apartment for rent,"  Peace Estate, Ajah, Lagos","1,200,000", per annum,3
2 bedroom flat / apartment for rent,"  Ocean Palm Estate, Sangotedo, Ajah, Lagos","1,500,000", per annum,2
2 bedroom flat / apartment for rent,"  Ikate, Lekki, Lagos","5,000,000", per annum,2
